Movie Name,Release Date,Opening Day,Opening Weekend,End of Week 1,Lifetime,Verdict
Thugs Of Hindostan,2018,52.25,123,140.4,151.19,Flop
Secret Superstar,2017,4.8,31.1,41.59,63.4,Hit
Dangal,2016,29.78,107.01,197.54,387.38,All Time Blockbuster
PK,2014,26.63,95.41,183.09,340.8,All Time Blockbuster
Dhoom 3,2013,36.22,107.61,188.99,284.27,Blockbuster
Talaash,2012,13.5,47.1,67.9,93.4,Semi-Hit
Dhobi Ghat,2011,3.05,10.05,11.61,13.77,Flop
3 Idiots,2009,12.78,40.65,79.07,202.95,All Time Blockbuster
Ghajini,2008,N.A,N.A,55.16,114,Blockbuster
Taare Zameen Par,2007,2.62,9.65,16.57,61.83,Hit
Fanaa,2006,3.96,11.74,20.32,51.87,Super-Hit
Rang De Basanti,2006,3.12,7.69,15.35,53.08,Hit
Mangal Pandey – The Rising,2005,3.24,9.59,17.37,27.86,Flop
Dil Chahta Hai,2001,0.9,2.77,5.73,20.02,Average
Lagaan: Once Upon a Time in India,2001,1,3.14,6.63,34.31,Hit
Mela,2000,1.27,3.62,6.82,15.19,Flop
1947 (Earth),1999,0.26,0.87,1.61,3.8,Flop
Mann,1999,1.09,3.38,6.1,16.65,Average
Sarfarosh,1999,0.83,2.58,4.48,18.77,Hit
Ghulam,1998,0.75,2.24,4.04,13.36,Hit
Ishq,1997,0.94,2.8,5.47,24.93,Super-Hit
Raja Hindustani,1996,0.59,1.7,3.65,43.15,Blockbuster
Akele Hum Akele Tum,1995,0.4,1.29,2.35,7.07,Average
Rangeela,1995,0.71,2.05,3.73,20.22,Super-Hit
Aatank Hi Aatank,1995,0.31,0.89,1.46,2.55,Flop
Baazi,1995,0.43,1.31,2.25,5.09,Flop
Andaz Apna Apna,1994,0.31,0.92,1.68,5.3,Average
Hum Hain Rahi Pyar Ke,1993,N.A,N.A,N.A,5,Hit
Jo Jeeta Wohi Sikander,1992,N.A,N.A,N.A,7,Hit
Dil Hai Ke Manta Nahin,1991,N.A,N.A,N.A,4,Hit
Dil,1990,N.A,N.A,N.A,10,Super-Hit
Qayamat Se Qayamat Tak,1988,N.A,N.A,N.A,3,Super-Hit
