Movie Name,Release Date,Opening Day,Opening Weekend,End of Week 1,Lifetime,Verdict
Dabangg 3,2019,24.5,78.75,121.58,146.11,Semi-Hit
Bharat,2019,42.3,150.1,180.05,211.07,Semi-Hit
Race 3,2018,28.5,103,140.74,166.4,Average
Tiger Zinda Hai,2017,34.1,114.93,206.04,339.16,Blockbuster
Tubelight,2017,21.15,64.77,106.86,119.26,Average
Sultan,2016,36.54,180.36,229.16,300.45,Blockbuster
Prem Ratan Dhan Payo,2015,40.35,129.77,172.82,210.16,Super-Hit
Bajrangi Bhaijaan,2015,27.25,102.6,184.62,320.34,All Time Blockbuster
Kick,2014,26.4,83.83,164.09,231.85,Blockbuster
Jai Ho,2014,17.75,60.68,88.78,116,Semi-Hit
Dabangg 2,2012,21.1,65,106.78,155,Super-Hit
Ek Tha Tiger,2012,32.93,100.16,154.21,198.78,Super-Hit
Bodyguard,2011,21.6,88.75,115,148.86,Super-Hit
Ready,2011,13.15,40.65,68.02,119.78,Hit
Dabangg,2010,14.5,48.5,81,138.88,Super-Hit
Veer,2010,7,19.57,31.82,46,Average
London Dreams,2009,N.A,14.6,23.36,28.96,Flop
Main Aurr Mrs Khanna,2009,1.64,4.42,6.86,7.4,Flop
Wanted,2009,5.1,15.57,33.63,60.24,Hit
Partner,2009,5.38,16.57,27.74,60.05,Hit
Yuvvraaj,2008,2.88,9.02,12.94,16.89,Flop
Heroes,2008,2.09,6.78,10.38,12.63,Flop
God Tussi Great Ho,2008,2.43,6.42,9.85,12.51,Flop
Marigold: An Adventure in India,2007,N.A,N.A,0,N.A,Flop
Salaam-E-Ishq,2007,4.19,11.15,16.26,22.68,Flop
Jaan-E-Mann,2006,2.43,8.02,13.6,25.13,Flop
Saawan – The Love Season,2006,0.8,2.14,3.06,3.47,Flop
Kyon Ki,2005,1.92,4.44,8.08,12.71,Flop
No Entry,2005,1.72,7.98,14.08,44.72,Super-Hit
Maine Pyaar Kyun Kiya,2005,2.4,6.95,11.56,25.69,Semi-Hit
Lucky – No Time For Love,2005,2.32,6.57,10.15,15.94,Average
Dil Ne Jise Apna Kahaa,2004,1.09,3.22,4.95,6.85,Flop
Phir Milenge,2004,0.27,0.88,1.47,2.5,Flop
Mujhse Shaadi Karogi,2004,2.45,7.29,12.21,29.11,Hit
Garv,2004,1.92,5.42,8.77,14.38,Average
Baghban,2003,0.9,2.92,5.39,20.65,Hit
Tere Naam,2003,1.85,4.78,7.74,14.53,Semi-Hit
Yeh Hai Jalwa,2002,0.87,2.45,3.7,5.49,Flop
Hum Tumhare Hain Sanam,2002,1.42,4.14,6.84,13.52,Average
Tumko Na Bhool Paayenge,2002,1.28,3.61,5.99,10.53,Flop
Chori Chori Chupke Chupke,2001,1.14,3.48,6.5,18.35,Semi-Hit
Kahi Pyaar Na Ho Jaaye,2000,0.58,1.71,3.08,6.7,Flop
Har Dil Jo Pyaar Karega,2000,1.15,3.36,7.79,15.28,Average
Chal Mere Bhai,2000,1.09,3.13,5.63,11.65,Flop
Dulhan Hum Le Jayenge,2000,1.29,3.83,7.09,18.85,Hit
Hum Saath Saath Hain,1999,1.21,3.72,8.19,39.18,Blockbuster
Hello Brother,1999,1.04,3.12,5.29,10.68,Flop
Hum Dil De Chuke Sanam,1999,0.92,2.86,5.74,24.76,Hit
Biwi No 1,1999,1.23,3.52,7.29,25.58,Super-Hit
Jaanam Samjha Karo,1999,0.92,2.68,4.52,9.19,Flop
Bandhan,1998,0.81,2.36,4.16,12.1,Hit
Jab Pyar Kisi Se Hota Hai,1998,0.45,1.48,2.85,11.71,Semi-Hit
Pyar Kiya To Darna Kya,1998,0.8,2.31,4.47,18.07,Hit
Auzaar,1997,0.49,1.39,2.41,5.68,Flop
Judwaa,1997,0.76,2.19,4.03,13.14,Hit
Jeet,1996,0.82,2.29,4.19,16.13,Hit
Khamoshi The Musical,1996,0.54,1.68,2.93,6.9,Flop
Veergati,1995,0.57,1.58,2.62,4.99,Flop
Karan Arjun,1995,0.8,2.24,4.29,25.29,Blockbuster
Chaand Ka Tukdaa,1994,0.25,0.73,1.24,2.06,Flop
Hum Aapke Hain Koun..!,1994,0.1,0.29,0.68,72.47,All Time Blockbuster
Andaz Apna Apna,1994,0.31,0.92,1.68,5.3,Average
Saajan,1991,N.A,N.A,N.A,10,Super-Hit
Sanam Bewafa,1991,N.A,N.A,N.A,5.75,Super-Hit
Baaghi,1990,N.A,N.A,N.A,4,Hit
Maine Pyar Kiya,1989,N.A,N.A,N.A,14,All Time Blockbuster
